
📺央视频道,#genre#
CCTV-12,http://218.13.14.6:60050/tsfile/live/1012_1.m3u8
CCTV-12,http://39.135.135.11/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-12,http://148.135.93.213:81/live.php?id=CCTV12
CCTV-12,http://ycsj.aguihome.com:4022/udp/233.50.200.21:5140
CCTV-12,http://ycsj.aguihome.com:4022/udp/233.50.201.123:5140
CCTV-12,http://www.shizhan.love:8848/udp/239.49.0.12:8088
CCTV-12,http://221.205.180.88:8003/rtp/226.0.2.164:9224
CCTV-12,http://36.105.100.208:35455/gaoma/cctv12.m3u8
CCTV-12,http://3501776.xyz:35455/gaoma/cctv12.m3u8
CCTV-12,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV-13,http://39.135.135.59/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-13,http://ycsj.aguihome.com:4022/udp/233.50.200.111:5140
CCTV-13,http://ycsj.aguihome.com:4022/udp/233.50.201.246:5140
CCTV-13,http://www.shizhan.love:8848/udp/239.49.0.13:8096
CCTV-13,http://221.205.180.88:8003/rtp/226.0.2.165:9232
CCTV-13,http://60.12.183.46:9901/tsfile/live/0013_1.m3u8
CCTV-13,http://3501776.xyz:35455/gaoma/cctv13.m3u8
CCTV-13,http://123.254.110.101:5000/1000000002000021303/ystenlive/index.m3u8
CCTV-13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13,http://lt.hxtre.com:35455/gaoma/cctv13.m3u8
CCTV-14,http://39.135.133.173/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225732/index.m3u8
CCTV-14,http://ycsj.aguihome.com:4022/udp/233.50.200.20:5140
CCTV-14,http://ycsj.aguihome.com:4022/udp/233.50.201.124:5140
CCTV-14,http://www.shizhan.love:8848/udp/239.49.0.14:8104
CCTV-14,http://221.205.180.88:8003/rtp/226.0.2.166:9240
CCTV-14,http://39.164.160.249:9901/tsfile/live/0014_1.m3u8
CCTV-14,http://36.105.100.208:35455/gaoma/cctv14.m3u8
CCTV-14,http://60.12.183.46:9901/tsfile/live/0014_1.m3u8
CCTV-14,http://3501776.xyz:35455/gaoma/cctv14.m3u8
CCTV-14,http://220.164.192.48:50085/tsfile/live/0015_1.m3u8
CCTV-15,http://39.134.65.87/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-15,http://www.shizhan.love:8848/udp/239.49.0.15:8112
CCTV-15,http://221.205.180.88:8003/rtp/226.0.2.32:8168
CCTV-15,http://36.105.100.208:35455/gaoma/cctv15.m3u8
CCTV-15,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV-15,http://107.173.199.222:35455/gaoma/cctv15.m3u8
CCTV-15,http://60.29.124.66:6080/hls/26/index.m3u8
CCTV-15,http://110.53.52.63:8888/newlive/live/hls/17/live.m3u8
CCTV-15,http://101.66.198.2:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-15,http://101.66.198.83:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-16,http://www.lizhinas.top:1009/rtp/239.252.220.237:5140
CCTV-16,http://39.135.133.139/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-16,http://148.135.93.213:81/live.php?id=CCTV16
CCTV-16,http://ycsj.aguihome.com:4022/udp/233.50.201.63:5140
CCTV-16,http://221.205.180.88:8003/rtp/226.0.2.169:9264
CCTV-16,http://lt.hxtre.com:35455/gaoma/cctv16.m3u8
CCTV-16,http://36.105.100.208:35455/gaoma/cctv16.m3u8
CCTV-16,http://220.164.192.48:50085/tsfile/live/0017_1.m3u8
CCTV-16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV-16,http://182.92.109.190:1668/migu720/migu720.php?id=cctv16
CCTV-17,http://39.135.135.88/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV-17,http://148.135.93.213:81/live.php?id=CCTV17
CCTV-17,http://ycsj.aguihome.com:4022/udp/233.50.200.113:5140
CCTV-17,http://www.shizhan.love:8848/udp/239.49.0.7:8048
CCTV-17,http://221.205.180.88:8003/rtp/226.0.2.170:9272
CCTV-17,http://36.105.100.208:35455/gaoma/cctv17.m3u8
CCTV-17,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-17,http://220.164.192.48:50085/tsfile/live/0018_1.m3u8
CCTV-17,http://120.238.94.10:9901/tsfile/live/1048_1.m3u8
CCTV-17,http://219.135.180.210:18888/hls/24/index.m3u8

📡卫视频道,#genre#
广东卫视,http://222.67.177.132/rtp/239.45.3.230:5140$上海电信组播源-cache:222.67.177.132
广东卫视,http://222.68.37.58/rtp/239.45.3.230:5140$上海电信组播源-cache:222.68.37.58
广东卫视,http://58.37.123.53/rtp/239.45.3.230:5140$上海电信组播源-cache:58.37.123.53
广东卫视,http://116.226.193.197/rtp/239.45.3.230:5140$上海电信组播源-cache:116.226.193.197
广东卫视,http://116.237.125.143/rtp/239.45.3.230:5140$上海电信组播源-cache:116.237.125.143
广东卫视,http://222.64.233.176/rtp/239.45.3.230:5140$上海电信组播源-cache:222.64.233.176
广东卫视,http://222.70.21.43/rtp/239.45.3.230:5140$上海电信组播源-cache:222.70.21.43
广东卫视,http://58.37.252.90/rtp/239.45.3.230:5140$上海电信组播源-cache:58.37.252.90
广东卫视,http://116.235.85.69/rtp/239.45.3.230:5140$上海电信组播源-cache:116.235.85.69
广东卫视,http://139.196.214.238/rtp/239.45.3.230:5140$上海电信组播源-cache:139.196.214.238
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639&wsIPSercert=6f8d45434604e7d22f5b0abbc0231d01&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
香港卫视,http://anren.live/HK/BSJDUFpB.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv#http://stream.qhbtv.com/adws/sd/live.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
浙江卫视,http://222.67.177.132/rtp/239.45.3.178:5140$上海电信组播源-cache:222.67.177.132
浙江卫视,http://222.68.37.58/rtp/239.45.3.178:5140$上海电信组播源-cache:222.68.37.58
浙江卫视,http://58.37.123.53/rtp/239.45.3.178:5140$上海电信组播源-cache:58.37.123.53
浙江卫视,http://116.226.193.197/rtp/239.45.3.178:5140$上海电信组播源-cache:116.226.193.197
