央视频道,#genre#
湖南电视剧,http://111.8.242.142:9999/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧,http://111.8.242.127:9999/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
湖南经视,http://111.8.242.142:9999/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
湖南经视,http://111.8.242.127:9999/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://111.8.242.142:9999/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://111.8.242.127:9999/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
溆浦时政,http://111.8.242.142:9999/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
溆浦时政,http://111.8.242.127:9999/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
潇湘电影,http://111.8.242.142:9999/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
潇湘电影,http://111.8.242.127:9999/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
生活时尚,http://111.8.242.142:9999/tsfile/live/1075_1.m3u8?key=txiptv&playlive=1&authid=0
生活时尚,http://111.8.242.127:9999/tsfile/live/1075_1.m3u8?key=txiptv&playlive=1&authid=0
都市剧场,http://111.8.242.142:9999/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
都市剧场,http://111.8.242.127:9999/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
重温金典,http://111.8.242.127:9999/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
重温金典,http://111.8.242.142:9999/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://111.8.242.127:9999/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://111.8.242.142:9999/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
长沙,http://111.8.242.127:9999/tsfile/live/1077_1.m3u8?key=txiptv&playlive=1&authid=0
长沙,http://111.8.242.142:9999/tsfile/live/1077_1.m3u8?key=txiptv&playlive=1&authid=0
